timestamp,action_count,motor_id,target_position,present_position,present_current_mA,present_voltage_V,temperature_C,torque_enabled,present_pwm,present_velocity,hardware_error_status,hardware_error_hex,packet_error,packet_error_hex,hardware_error_decoded
2026-08-22T11:51:01.077130,0,16,2452,2452,0,5.2,24,1,0,1,0,0x00,,None,No hardware error
2026-08-22T11:51:01.205270,0,17,1301,1301,-12,5.2,21,1,-2,1,0,0x00,,None,No hardware error
2026-08-22T11:51:01.333235,0,18,2955,2955,0,5.2,24,1,0,1,0,0x00,,None,No hardware error
2026-08-22T11:51:01.461234,0,19,1524,1524,0,5.2,22,1,0,0,0,0x00,,None,No hardware error
2026-08-22T11:51:04.791664,0,16,2452,2452,0,5.2,24,1,0,1,0,0x00,,None,No hardware error
2026-08-22T11:51:04.916938,0,17,1301,1302,-10,5.300000000000001,21,1,-2,1,0,0x00,,None,No hardware error
2026-08-22T11:51:05.044947,0,18,2955,2955,0,5.2,24,1,0,1,0,0x00,,None,No hardware error
2026-08-22T11:51:05.173006,0,19,1524,1524,0,5.2,22,1,0,0,0,0x00,,None,No hardware error
2026-08-22T11:51:07.011992,0,16,2452,2453,0,5.2,24,1,0,1,0,0x00,,None,No hardware error
2026-08-22T11:51:07.140815,0,17,1301,1302,-11,5.2,21,1,-2,1,0,0x00,,None,No hardware error
2026-08-22T11:51:07.268715,0,18,2955,2955,0,5.2,24,1,0,1,0,0x00,,None,No hardware error
2026-08-22T11:51:07.396694,0,19,1524,1524,0,5.2,22,1,0,0,0,0x00,,None,No hardware error
2026-08-22T11:55:32.885745,0,16,2453,2453,0,5.2,24,1,0,1,0,0x00,,None,No hardware error
2026-08-22T11:55:33.013871,0,17,1302,1302,0,5.2,21,1,0,1,0,0x00,,None,No hardware error
2026-08-22T11:55:33.141794,0,18,2955,2955,0,5.2,23,1,0,1,0,0x00,,None,No hardware error
2026-08-22T11:55:33.269844,0,19,1524,1524,0,5.2,22,1,0,0,0,0x00,,None,No hardware error
2026-08-22T11:55:36.610030,0,16,2453,2453,0,5.2,24,1,0,1,0,0x00,,None,No hardware error
2026-08-22T11:55:36.725565,0,17,1302,1302,0,5.2,21,1,0,1,0,0x00,,None,No hardware error
2026-08-22T11:55:36.853548,0,18,2955,2955,0,5.2,23,1,0,1,0,0x00,,None,No hardware error
2026-08-22T11:55:36.981733,0,19,1524,1524,0,5.2,22,1,0,0,0,0x00,,None,No hardware error
2026-08-22T11:55:38.820777,0,16,2453,2454,0,5.2,24,1,0,1,0,0x00,,None,No hardware error
2026-08-22T11:55:38.949583,0,17,1302,1302,0,5.2,21,1,0,1,0,0x00,,None,No hardware error
2026-08-22T11:55:39.077357,0,18,2955,2955,0,5.2,23,1,0,1,0,0x00,,None,No hardware error
2026-08-22T11:55:39.205290,0,19,1524,1524,0,5.2,22,1,0,0,0,0x00,,None,No hardware error
2026-08-22T11:55:40.357373,1,16,2646,2624,19,5.2,24,1,34,1,0,0x00,,None,No hardware error
2026-08-22T11:55:40.485248,1,17,1257,1254,10,5.2,21,1,4,0,0,0x00,,None,No hardware error
2026-08-22T11:55:40.613218,1,18,2943,2954,-14,5.2,23,1,-33,1,0,0x00,,None,No hardware error
2026-08-22T11:55:40.741273,1,19,1413,1416,-11,5.2,22,1,-4,0,0,0x00,,None,No hardware error
2026-08-22T11:55:42.149388,2,16,2458,2458,13,5.2,24,1,1,0,0,0x00,,None,No hardware error
2026-08-22T11:55:42.277132,2,17,1450,1430,16,5.2,21,1,32,1,0,0x00,,None,No hardware error
2026-08-22T11:55:42.405095,2,18,3075,3031,28,5.2,23,1,68,1,0,0x00,,None,No hardware error
2026-08-22T11:55:42.533140,2,19,1291,1333,-25,5.2,22,1,-63,0,0,0x00,,None,No hardware error
2026-08-22T11:55:43.941024,3,16,2301,2301,0,5.2,24,1,0,0,0,0x00,,None,No hardware error
2026-08-22T11:55:44.069043,3,17,1445,1438,13,5.2,21,1,12,1,0,0x00,,None,No hardware error
2026-08-22T11:55:44.196882,3,18,3093,3032,40,5.2,23,1,95,1,0,0x00,,None,No hardware error
2026-08-22T11:55:44.325003,3,19,1120,1269,-150,5.1000000000000005,22,1,-232,0,0,0x00,,None,No hardware error
2026-08-22T11:55:45.732895,4,16,2104,2106,-14,5.2,24,1,-4,1,0,0x00,,None,No hardware error
2026-08-22T11:55:45.860837,4,17,1355,1359,-14,5.2,21,1,-7,0,0,0x00,,None,No hardware error
2026-08-22T11:55:45.988845,4,18,2945,2952,-13,5.2,23,1,-11,0,0,0x00,,None,No hardware error
