timestamp,action_count,motor_id,target_position,present_position,present_current_mA,present_voltage_V,temperature_C,torque_enabled,present_pwm,present_velocity,hardware_error_status,hardware_error_hex,packet_error,packet_error_hex,hardware_error_decoded
2026-08-14T16:42:52.194408,0,16,3709,3709,0,5.2,22,1,0,1,0,0x00,,None,No hardware error
2026-08-14T16:42:52.322577,0,17,148,147,11,5.2,26,1,1,0,0,0x00,,None,No hardware error
2026-08-14T16:42:52.450527,0,18,2753,2753,0,5.2,22,1,0,1,0,0x00,,None,No hardware error
2026-08-14T16:42:52.578521,0,19,786,786,0,5.2,24,1,0,1,0,0x00,,None,No hardware error
2026-08-14T16:42:55.877003,0,16,3709,3709,0,5.2,22,1,0,1,0,0x00,,None,No hardware error
2026-08-14T16:42:56.002417,0,17,148,147,10,5.2,26,1,1,0,0,0x00,,None,No hardware error
2026-08-14T16:42:56.130372,0,18,2753,2753,0,5.2,22,1,0,1,0,0x00,,None,No hardware error
2026-08-14T16:42:56.258371,0,19,786,786,0,5.2,24,1,0,1,0,0x00,,None,No hardware error
2026-08-14T16:42:57.711416,0,16,3709,3709,0,5.2,22,1,0,1,0,0x00,,None,No hardware error
2026-08-14T16:42:57.826511,0,17,148,147,11,5.2,26,1,3,0,0,0x00,,None,No hardware error
2026-08-14T16:42:57.954407,0,18,2753,2753,0,5.2,22,1,0,1,0,0x00,,None,No hardware error
2026-08-14T16:42:58.082371,0,19,786,786,13,5.2,24,1,1,1,0,0x00,,None,No hardware error
2026-08-14T16:43:04.193983,10,16,3193,3099,17,5.2,22,1,54,1,0,0x00,,None,No hardware error
2026-08-14T16:43:04.322159,10,17,379,388,-13,5.2,26,1,-15,0,0,0x00,,None,No hardware error
2026-08-14T16:43:04.449995,10,18,2528,2515,12,5.2,22,1,20,1,0,0x00,,None,No hardware error
2026-08-14T16:43:04.578058,10,19,-97,4294967190,15,5.1000000000000005,24,1,14,1,0,0x00,,None,No hardware error
2026-08-14T16:43:10.961686,20,16,2528,2420,-12,5.2,22,1,4,4,0,0x00,,None,No hardware error
2026-08-14T16:43:11.089878,20,17,-493,4294966799,11,5.2,26,1,6,1,0,0x00,,None,No hardware error
2026-08-14T16:43:11.217841,20,18,2288,2298,-12,5.2,22,1,-16,0,0,0x00,,None,No hardware error
2026-08-14T16:43:11.345725,20,19,-861,4294966441,-15,5.2,24,1,-10,0,0,0x00,,None,No hardware error
2026-08-14T16:43:16.465547,28,16,4350,,,,,,,,1,0x01,128,0x80,Input voltage error
2026-08-14T16:43:16.577653,28,17,1028,738,187,4.9,26,1,193,69,0,0x00,,None,No hardware error
2026-08-14T16:43:16.689604,28,18,2067,2085,-13,5.1000000000000005,22,1,-15,-1,0,0x00,,None,No hardware error
2026-08-14T16:43:16.801618,28,19,-1387,,,,,,,,1,0x01,128,0x80,Input voltage error
2026-08-14T16:43:17.000710,28,16,4350,,,,,,,,,None,,None,No hardware status available
2026-08-14T16:43:17.121681,28,17,1028,933,70,5.0,26,1,151,1,0,0x00,,None,No hardware error
2026-08-14T16:43:17.249629,28,18,2067,2078,-12,5.1000000000000005,22,1,-16,0,0,0x00,,None,No hardware error
2026-08-14T16:43:17.377705,28,19,-1387,,,,,,,,,None,,None,No hardware status available
2026-08-14T16:43:17.569434,28,16,4350,,,,,,,,1,0x01,,None,Input voltage error
2026-08-14T16:43:17.697420,28,16,4350,,,,,,,,,None,,None,No hardware status available
2026-08-14T16:56:56.082290,0,16,2949,2949,0,5.2,22,1,0,1,0,0x00,,None,No hardware error
2026-08-14T16:56:56.210386,0,17,917,916,11,5.2,22,1,1,0,0,0x00,,None,No hardware error
2026-08-14T16:56:56.338423,0,18,2078,2078,0,5.2,21,1,0,0,0,0x00,,None,No hardware error
2026-08-14T16:56:56.466311,0,19,2745,2745,0,5.2,24,1,0,1,0,0x00,,None,No hardware error
2026-08-14T16:56:59.790248,0,16,2949,2949,0,5.2,22,1,0,1,0,0x00,,None,No hardware error
2026-08-14T16:56:59.906164,0,17,917,916,10,5.2,22,1,1,0,0,0x00,,None,No hardware error
2026-08-14T16:57:00.034150,0,18,2078,2078,0,5.2,21,1,0,0,0,0x00,,None,No hardware error
2026-08-14T16:57:00.162148,0,19,2745,2745,0,5.2,24,1,0,1,0,0x00,,None,No hardware error
